,t1,t2,t3,t4,energy,old duration,lost,dead,duration
1819,5,3,232,0,16378.054687500002,401,50,596,240
1820,5,2,80,0,16378.604687500005,249,62,588,87
1821,6,3,73,0,16379.442187500004,243,60,425,82
1822,6,2,8,0,16380.907812499996,178,50,451,16
1823,5,2,162,0,16381.557812499996,331,52,455,169
1824,5,3,224,0,16382.043749999995,393,59,426,232
1825,6,4,230,0,16382.425,400,50,445,240
1826,6,2,178,0,16382.5765625,348,52,595,186
1827,5,4,20,0,16384.545312500006,189,47,619,29
1828,7,3,171,0,16386.431250000005,342,58,569,181
1829,4,2,6,0,16387.298437499998,174,49,388,12
1830,5,4,142,0,16388.143750000007,311,38,616,151
1831,6,3,175,0,16388.99375,345,77,573,184
1832,5,4,86,0,16393.003125000007,255,49,597,95
1833,5,4,14,0,16395.006250000002,183,50,642,23
1834,5,4,84,0,16397.028124999993,253,62,495,93
1835,5,3,8,0,16397.704687500005,177,49,690,16
1836,7,2,9,0,16397.7578125,180,47,612,18
1837,7,3,10,0,16400.7390625,181,51,567,20
1838,4,4,90,0,16400.929687500004,258,55,597,98
1839,6,3,177,0,16401.1296875,347,44,594,186
1840,4,3,115,0,16402.418750000004,283,62,693,122
1841,7,4,49,0,16403.4796875,220,57,622,60
1842,4,4,8,0,16404.048437500005,176,57,643,16
1843,6,4,56,0,16404.471875000007,226,45,721,66
1844,4,3,233,0,16404.640625000004,401,49,618,240
1845,4,4,230,0,16407.9625,398,49,593,238
1846,5,2,7,0,16408.139062500002,176,57,385,14
1847,5,4,232,0,16408.621875000004,401,40,616,241
1848,7,3,10,0,16408.868749999998,181,50,518,20
1849,4,2,92,0,16410.556250000005,260,54,569,98
1850,7,2,143,0,16410.821875000005,314,55,568,152
1851,6,4,65,0,16413.948437499996,235,46,622,75
1852,5,3,8,0,16415.709375000002,177,54,568,16
1853,7,3,10,0,16416.107812500002,181,65,546,20
1854,6,2,220,0,16418.220312500005,390,49,612,228
1855,7,2,211,0,16419.3078125,382,41,678,220
1856,5,3,8,0,16421.107812500002,177,50,618,16
1857,6,3,230,0,16423.4625,400,50,640,239
1858,6,2,186,0,16423.5953125,356,45,544,194
1859,7,2,10,0,16424.934375000004,181,73,591,19
1860,5,4,96,0,16426.735937500005,265,41,643,105
1861,4,4,152,0,16427.525,320,59,569,160
1862,7,2,14,0,16430.467187500006,185,64,407,23
1863,5,3,17,0,16430.532812499994,186,41,567,25
1864,6,3,233,0,16432.503125000007,403,46,593,242
1865,7,4,229,0,16432.703125000004,400,43,619,240
1866,4,4,192,0,16433.13125,360,76,672,200
1867,5,2,158,0,16434.092187500006,327,53,434,165
1868,4,4,167,0,16434.146875000006,335,53,540,175
1869,5,3,230,0,16435.446874999998,399,46,692,238
1870,7,1,8,0,16438.232812500002,179,57,631,16
1871,6,4,137,0,16439.179687500004,307,59,766,147
1872,4,4,106,0,16440.112500000007,274,55,644,114
1873,6,3,231,0,16440.96875,401,38,568,240
